"","species","fValues","eqCatch","maxcatch","fmsy","catch90","fmsy90l","fmsy90r","NatM"
"1","cod",0.01,36962600,163484000,0.1052,147135600,0.0814,0.1528,0.2
"2","cod",0.0338,99406100,163484000,0.1052,147135600,0.0814,0.1528,0.2
"3","cod",0.0576,136133000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"4","cod",0.0814,155672000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"5","cod",0.1052,163484000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"6","cod",0.129,163165000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"7","cod",0.1528,157141000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"8","cod",0.1766,147077000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"9","cod",0.2004,134142000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"10","cod",0.2242,119165000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"11","cod",0.248,102757000,163484000,0.1052,147135600,0.0814,0.1528,0.2
"12","cod",0.2718,85396600,163484000,0.1052,147135600,0.0814,0.1528,0.2
"13","cod",0.2956,67542700,163484000,0.1052,147135600,0.0814,0.1528,0.2
"14","cod",0.3194,49803200,163484000,0.1052,147135600,0.0814,0.1528,0.2
"15","cod",0.3432,33193900,163484000,0.1052,147135600,0.0814,0.1528,0.2
"16","cod",0.367,19253700,163484000,0.1052,147135600,0.0814,0.1528,0.2
"17","cod",0.3908,9434140,163484000,0.1052,147135600,0.0814,0.1528,0.2
"18","cod",0.4146,3899960,163484000,0.1052,147135600,0.0814,0.1528,0.2
"19","cod",0.4384,1400450,163484000,0.1052,147135600,0.0814,0.1528,0.2
"20","cod",0.4622,454898,163484000,0.1052,147135600,0.0814,0.1528,0.2
"21","cod",0.486,138351,163484000,0.1052,147135600,0.0814,0.1528,0.2
"22","cod",0.5098,40347.8,163484000,0.1052,147135600,0.0814,0.1528,0.2
"23","cod",0.5336,11456,163484000,0.1052,147135600,0.0814,0.1528,0.2
"24","cod",0.5574,3197.67,163484000,0.1052,147135600,0.0814,0.1528,0.2
"25","cod",0.5812,883.037,163484000,0.1052,147135600,0.0814,0.1528,0.2
"26","cod",0.605,242.318,163484000,0.1052,147135600,0.0814,0.1528,0.2
"27","cod",0.6288,66.3014,163484000,0.1052,147135600,0.0814,0.1528,0.2
"28","cod",0.6526,18.1498,163484000,0.1052,147135600,0.0814,0.1528,0.2
"29","cod",0.6764,4.9994,163484000,0.1052,147135600,0.0814,0.1528,0.2
"30","cod",0.7002,1.4065,163484000,0.1052,147135600,0.0814,0.1528,0.2
"31","cod",0.724,0.422241,163484000,0.1052,147135600,0.0814,0.1528,0.2
"32","cod",0.7478,0.15085,163484000,0.1052,147135600,0.0814,0.1528,0.2
"33","cod",0.7716,0.0748086,163484000,0.1052,147135600,0.0814,0.1528,0.2
"34","cod",0.7954,0.0525659,163484000,0.1052,147135600,0.0814,0.1528,0.2
"35","cod",0.8192,0.0452805,163484000,0.1052,147135600,0.0814,0.1528,0.2
"36","cod",0.843,0.0422436,163484000,0.1052,147135600,0.0814,0.1528,0.2
"37","cod",0.8668,0.0404804,163484000,0.1052,147135600,0.0814,0.1528,0.2
"38","cod",0.8906,0.0391525,163484000,0.1052,147135600,0.0814,0.1528,0.2
"39","cod",0.9144,0.0380157,163484000,0.1052,147135600,0.0814,0.1528,0.2
"40","cod",0.9382,0.0369933,163484000,0.1052,147135600,0.0814,0.1528,0.2
"41","cod",0.962,0.0360564,163484000,0.1052,147135600,0.0814,0.1528,0.2
"42","cod",0.9858,0.0351909,163484000,0.1052,147135600,0.0814,0.1528,0.2
"43","cod",1.0096,0.0343878,163484000,0.1052,147135600,0.0814,0.1528,0.2
"44","cod",1.0334,0.0336401,163484000,0.1052,147135600,0.0814,0.1528,0.2
"45","cod",1.0572,0.0329422,163484000,0.1052,147135600,0.0814,0.1528,0.2
"46","cod",1.081,0.032289,163484000,0.1052,147135600,0.0814,0.1528,0.2
"47","cod",1.1048,0.0316763,163484000,0.1052,147135600,0.0814,0.1528,0.2
"48","cod",1.1286,0.0311005,163484000,0.1052,147135600,0.0814,0.1528,0.2
"49","cod",1.1524,0.0305582,163484000,0.1052,147135600,0.0814,0.1528,0.2
"50","cod",1.1762,0.0300466,163484000,0.1052,147135600,0.0814,0.1528,0.2
"51","cod",1.2,0.029563,163484000,0.1052,147135600,0.0814,0.1528,0.2
"52","flatfish",0.01,840.736,6924.43,0.2956,6231.987,0.1766,0.4622,0.2
"53","flatfish",0.0338,2461.89,6924.43,0.2956,6231.987,0.1766,0.4622,0.2
"54","flatfish",0.0576,3673.81,6924.43,0.2956,6231.987,0.1766,0.4622,0.2
