"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","species","max_grad","version","RunTime","hessian","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","h","m","y","ID"
"1",1418010000,164172000,4084180000,0.341647527777914,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104696000,871.825,1.3386e-06,0,-41.8454,NA,NA,319.222,533.061,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1304410000,151490000,3758700000,0.379375848032564,0,0.2,20.0897,131.614,0.2004,0.0980002,0.103609,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6214,0.65,0.4,0,0,0,0,0,-0.0185974,0,51.7532,-3,5.20603,15,-999,999,41.8243,-4,5.22378,14,-99,99,0.1,100,0.1,100,0.1,100,104696000,1342,1.56464e-13,0,-113.323,NA,NA,1149.57,322.702,NA,NA,NA,NA,NA,-28.5043,0,11.5525,0.000877523,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",1,"D100","F1","cod",0.00575045,"#V3.24O",0.616666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-1"
"2",1418010000,164172000,4084180000,0.405547747650691,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121264000,849.974,1.09843e-06,0,-41.8454,NA,NA,317.229,520.575,NA,NA,NA,NA,NA,53.7653,0,0,0,0,0,1381620000,159501000,3977660000,0.411405198031003,0,0.2,19.9206,132.604,0.199086,0.103407,0.0969338,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6662,0.65,0.4,0,0,0,0,0,0.00837967,0,50.8796,-3,5.13041,15,-999,999,42.4827,-4,5.33839,14,-99,99,0.1,100,0.1,100,0.1,100,121264000,1345.98,2.00825e-13,0,-109.055,NA,NA,1105.39,365.437,NA,NA,NA,NA,NA,-27.6403,0,11.852,0.000872333,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",2,"D100","F1","cod",0.0258978,"#V3.24O",0.633333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-2"
"3",1418010000,164172000,4084180000,0.335898515736329,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,101925000,837.274,1.40558e-06,0,-41.8454,NA,NA,310.091,512.936,NA,NA,NA,NA,NA,55.8427,0,0,0,0,0,1345450000,155277000,3874500000,0.34847077042199,0,0.2,20.085,132.196,0.19786,0.0999596,0.0994901,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6527,0.65,0.4,0,0,0,0,0,0.00299923,0,50.7716,-3,5.10298,15,-999,999,41.8568,-4,5.27563,14,-99,99,0.1,100,0.1,100,0.1,100,101925000,1339.37,1.86934e-13,0,-111.242,NA,NA,1131.35,330.631,NA,NA,NA,NA,NA,-23.1313,0,11.7608,0.000886743,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",3,"D100","F1","cod",0.0353673,"#V3.24O",0.65,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-3"
"4",1418010000,164172000,4084180000,0.348828895886078,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,109198000,847.988,1.24544e-06,0,-41.8454,NA,NA,316.413,521.056,NA,NA,NA,NA,NA,52.1152,0,0,0,0,0,1384980000,161945000,3994410000,0.349263095175508,0,0.2,19.9948,130.764,0.202921,0.101087,0.0990099,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6921,0.65,0.4,0,0,0,0,0,0.0226391,0,51.5414,-3,5.15816,15,-999,999,42.271,-4,5.29256,14,-99,99,0.1,100,0.1,100,0.1,100,109198000,1302.51,2.29727e-13,0,-110.65,NA,NA,1083.58,346.836,NA,NA,NA,NA,NA,-29.2861,0,12.0308,0.000873903,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",4,"D100","F1","cod",0.00556418,"#V3.24O",0.666666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-4"
"5",1418010000,164172000,4084180000,0.449811222815841,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,136047000,854.612,8.44631e-07,0,-41.8454,NA,NA,316.609,527.341,NA,NA,NA,NA,NA,52.2571,0,0,0,0,0,1401290000,163172000,4039360000,0.448442327497425,0,0.2,20.0859,131.457,0.20118,0.100109,0.10063,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6944,0.65,0.4,0,0,0,0,0,0.0186217,0,51.6661,-3,5.1794,15,-999,999,43.0637,-4,5.45482,14,-99,99,0.1,100,0.1,100,0.1,100,136047000,1326.02,2.20493e-13,0,-113.987,NA,NA,1127.5,323.975,NA,NA,NA,NA,NA,-23.5158,0,12.0468,0.00084709,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",5,"D100","F1","cod",0.0136773,"#V3.24O",0.583333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-5"
"6",1418010000,164172000,4084180000,0.389360899862396,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,119161000,834.895,1.00473e-06,0,-41.8454,NA,NA,315.374,518.158,NA,NA,NA,NA,NA,42.958,0,0,0,0,0,1443800000,167864000,4160490000,0.389218577619463,0,0.2,20.0903,131.254,0.201674,0.0967929,0.104753,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7246,0.65,0.4,0,0,0,0,0,-0.0184353,0,51.2506,-3,5.14706,15,-999,999,41.2795,-4,5.15507,14,-99,99,0.1,100,0.1,100,0.1,100,119161000,1358.43,1.59271e-13,0,-113.75,NA,NA,1162.76,328.45,NA,NA,NA,NA,NA,-31.2955,0,12.2601,0.000898368,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",6,"D100","F1","cod",0.00580389,"#V3.24O",0.65,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-6"
"7",1418010000,164172000,4084180000,0.50094755862866,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,150330000,907.262,1.05516e-06,0,-41.8454,NA,NA,331.504,559.191,NA,NA,NA,NA,NA,58.162,0,0,0,0,0,1371350000,159588000,3951670000,0.50680851386882,0,0.2,19.4397,131.896,0.202263,0.10875,0.0936766,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6654,0.65,0.4,0,0,0,0,0,0.0151768,0,51.388,-3,5.1775,15,-999,999,39.3465,-4,4.69473,14,-99,99,0.1,100,0.1,100,0.1,100,150330000,1390.39,2.56749e-13,0,-108.518,NA,NA,1164.57,342.897,NA,NA,NA,NA,NA,-20.4101,0,11.8466,0.000974271,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",7,"D100","F1","cod",0.0102425,"#V3.24O",0.816666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-7"
"8",1418010000,164172000,4084180000,0.453554936364215,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,137862000,847.201,9.47033e-07,0,-41.8454,NA,NA,318.681,523.55,NA,NA,NA,NA,NA,46.5654,0,0,0,0,0,1473110000,171356000,4246060000,0.440387088265357,0,0.2,20.2478,130.649,0.200858,0.097547,0.10631,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7601,0.65,0.4,0,0,0,0,0,-0.0123337,0,51.4928,-3,5.19203,15,-999,999,42.6399,-4,5.43466,14,-99,99,0.1,100,0.1,100,0.1,100,137862000,1414.13,1.71031e-13,0,-112.027,NA,NA,1166.16,379.185,NA,NA,NA,NA,NA,-31.7067,0,12.5185,0.000848819,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",8,"D100","F1","cod",0.0137158,"#V3.24O",0.55,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-8"
"9",1418010000,164172000,4084180000,0.395014421499542,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121727000,860.194,9.42053e-07,0,-41.8454,NA,NA,320.112,532.288,NA,NA,NA,NA,NA,49.3887,0,0,0,0,0,1374020000,159124000,3957260000,0.406202776668705,0,0.2,20.1332,131.851,0.200308,0.0992051,0.0991967,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6696,0.65,0.4,0,0,0,0,0,0.0140704,0,51.0649,-3,5.14732,15,-999,999,42.6635,-4,5.33064,14,-99,99,0.1,100,0.1,100,0.1,100,121727000,1365.75,2.12606e-13,0,-110.624,NA,NA,1123.81,365.879,NA,NA,NA,NA,NA,-25.1843,0,11.8754,0.00087027,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",9,"D100","F1","cod",0.00659492,"#V3.24O",0.566666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-9"
"10",1418010000,164172000,4084180000,0.406446336841177,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,125099000,850.983,1.4976e-06,0,-41.8454,NA,NA,317.86,520.46,NA,NA,NA,NA,NA,54.2586,0,0,0,0,0,1307060000,150202000,3761900000,0.441659799569367,0,0.2,20.2598,132.886,0.196118,0.0957323,0.0987607,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6158,0.65,0.4,0,0,0,0,0,-0.0122776,0,51.1302,-3,5.15383,15,-999,999,43.843,-4,5.62271,14,-99,99,0.1,100,0.1,100,0.1,100,125099000,1341.49,1.6323e-13,0,-114.439,NA,NA,1130.32,340.617,NA,NA,NA,NA,NA,-26.5199,0,11.5156,0.000829137,0,0,33.5164866666667,39.36042,99.1169133333333,99.9594066666667,0.980493333333333,15,15,"D100-F1-cod",10,"D100","F1","cod",0.0091328,"#V3.24O",0.566666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-10"
