"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","species","max_grad","version","RunTime","hessian","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","h","m","y","ID"
"1",1418010000,164172000,4084180000,0.341647527777914,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104696000,871.825,1.3386e-06,0,-41.8454,NA,NA,319.222,533.061,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1319360000,153206000,3801740000,0.374867823680736,0,0.2,20.0917,131.642,0.200326,0.0979987,0.103593,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6325,0.65,0.4,0,0,0,0,0,-0.0179827,0,51.7577,-3,5.20632,15,-999,999,41.8402,-4,5.22671,14,-99,99,0.1,100,0.1,100,0.1,100,104696000,1327.7,1.57748e-13,0,-113.334,NA,NA,1149.7,322.597,NA,NA,NA,NA,NA,-42.8843,0,11.6257,0.000877016,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",1,"D100","F1","cod",0.0298936,"#V3.24O",0.533333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-1"
"2",1418010000,164172000,4084180000,0.405547747650691,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121264000,849.974,1.09843e-06,0,-41.8454,NA,NA,317.229,520.575,NA,NA,NA,NA,NA,53.7653,0,0,0,0,0,1397050000,161266000,4022020000,0.406629007314732,0,0.2,19.9211,132.627,0.199037,0.103407,0.0969364,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.677,0.65,0.4,0,0,0,0,0,0.00900987,0,50.8822,-3,5.13056,15,-999,999,42.4897,-4,5.33928,14,-99,99,0.1,100,0.1,100,0.1,100,121264000,1332.09,2.02522e-13,0,-109.07,NA,NA,1105.46,365.338,NA,NA,NA,NA,NA,-41.5687,0,11.9261,0.00087217,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",2,"D100","F1","cod",0.00277378,"#V3.24O",0.533333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-2"
"3",1418010000,164172000,4084180000,0.335898515736329,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,101925000,837.274,1.40558e-06,0,-41.8454,NA,NA,310.091,512.936,NA,NA,NA,NA,NA,55.8427,0,0,0,0,0,1359960000,156935000,3916260000,0.344548114782982,0,0.2,20.0854,132.22,0.197809,0.099957,0.0995029,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6631,0.65,0.4,0,0,0,0,0,0.00363974,0,50.7745,-3,5.10317,15,-999,999,41.8619,-4,5.27625,14,-99,99,0.1,100,0.1,100,0.1,100,101925000,1325.99,1.88533e-13,0,-111.2,NA,NA,1131.5,330.501,NA,NA,NA,NA,NA,-36.649,0,11.8314,0.000886607,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",3,"D100","F1","cod",0.0310492,"#V3.24O",0.583333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-3"
"4",1418010000,164172000,4084180000,0.348828895886078,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,109198000,847.988,1.24544e-06,0,-41.8454,NA,NA,316.413,521.056,NA,NA,NA,NA,NA,52.1152,0,0,0,0,0,1400910000,163783000,4040280000,0.345102319641213,0,0.2,19.9967,130.795,0.202841,0.101089,0.098981,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7032,0.65,0.4,0,0,0,0,0,0.0232492,0,51.545,-3,5.15837,15,-999,999,42.2842,-4,5.29481,14,-99,99,0.1,100,0.1,100,0.1,100,109198000,1288.95,2.31602e-13,0,-110.659,NA,NA,1083.63,346.937,NA,NA,NA,NA,NA,-43.0629,0,12.1084,0.000873523,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",4,"D100","F1","cod",0.00942087,"#V3.24O",0.55,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-4"
"5",1418010000,164172000,4084180000,0.449811222815841,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,136047000,854.612,8.44631e-07,0,-41.8454,NA,NA,316.609,527.341,NA,NA,NA,NA,NA,52.2571,0,0,0,0,0,1417030000,164983000,4084690000,0.443206216383618,0,0.2,20.087,131.485,0.201114,0.100111,0.100613,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7053,0.65,0.4,0,0,0,0,0,0.01925,0,51.6695,-3,5.17962,15,-999,999,43.0731,-4,5.45623,14,-99,99,0.1,100,0.1,100,0.1,100,136047000,1312.22,2.22347e-13,0,-113.989,NA,NA,1127.56,324.008,NA,NA,NA,NA,NA,-37.4894,0,12.1229,0.000846855,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",5,"D100","F1","cod",0.0260046,"#V3.24O",0.583333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-5"
"6",1418010000,164172000,4084180000,0.389360899862396,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,119161000,834.895,1.00473e-06,0,-41.8454,NA,NA,315.374,518.158,NA,NA,NA,NA,NA,42.958,0,0,0,0,0,1459640000,169687000,4206090000,0.38478967402029,0,0.2,20.0911,131.278,0.201617,0.096795,0.104739,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7352,0.65,0.4,0,0,0,0,0,-0.0178504,0,51.2532,-3,5.14722,15,-999,999,41.2849,-4,5.15584,14,-99,99,0.1,100,0.1,100,0.1,100,119161000,1344.07,1.60523e-13,0,-113.699,NA,NA,1162.82,328.276,NA,NA,NA,NA,NA,-45.665,0,12.3366,0.00089821,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",6,"D100","F1","cod",0.00575188,"#V3.24O",0.616666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-6"
"7",1418010000,164172000,4084180000,0.50094755862866,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,150330000,907.262,1.05516e-06,0,-41.8454,NA,NA,331.504,559.191,NA,NA,NA,NA,NA,58.162,0,0,0,0,0,1386580000,161335000,3995500000,0.500978600926042,0,0.2,19.4418,131.93,0.202176,0.108749,0.0936316,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6761,0.65,0.4,0,0,0,0,0,0.0157691,0,51.392,-3,5.17773,15,-999,999,39.3545,-4,4.69616,14,-99,99,0.1,100,0.1,100,0.1,100,150330000,1376.75,2.58787e-13,0,-108.581,NA,NA,1164.57,343.049,NA,NA,NA,NA,NA,-34.211,0,11.9198,0.000973946,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",7,"D100","F1","cod",0.00171481,"#V3.24O",0.65,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-7"
"8",1418010000,164172000,4084180000,0.453554936364215,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,137862000,847.201,9.47033e-07,0,-41.8454,NA,NA,318.681,523.55,NA,NA,NA,NA,NA,46.5654,0,0,0,0,0,1489510000,173235000,4293260000,0.435296255060257,0,0.2,20.2497,130.683,0.20077,0.0975552,0.106259,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7708,0.65,0.4,0,0,0,0,0,-0.0117171,0,51.4966,-3,5.19227,15,-999,999,42.6524,-4,5.43682,14,-99,99,0.1,100,0.1,100,0.1,100,137862000,1398.99,1.72446e-13,0,-112.041,NA,NA,1166.16,379.044,NA,NA,NA,NA,NA,-46.7701,0,12.598,0.000848468,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",8,"D100","F1","cod",0.00541684,"#V3.24O",0.516666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-8"
"9",1418010000,164172000,4084180000,0.395014421499542,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121727000,860.194,9.42053e-07,0,-41.8454,NA,NA,320.112,532.288,NA,NA,NA,NA,NA,49.3887,0,0,0,0,0,1389720000,160916000,4002420000,0.401379665302492,0,0.2,20.1352,131.886,0.20022,0.0992115,0.0991556,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6806,0.65,0.4,0,0,0,0,0,0.014708,0,51.0693,-3,5.14761,15,-999,999,42.6783,-4,5.33314,14,-99,99,0.1,100,0.1,100,0.1,100,121727000,1351.39,2.14415e-13,0,-110.683,NA,NA,1123.82,365.911,NA,NA,NA,NA,NA,-39.6136,0,11.9508,0.000869849,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",9,"D100","F1","cod",0.0153918,"#V3.24O",0.6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-9"
"10",1418010000,164172000,4084180000,0.406446336841177,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,125099000,850.983,1.4976e-06,0,-41.8454,NA,NA,317.86,520.46,NA,NA,NA,NA,NA,54.2586,0,0,0,0,0,1321070000,151789000,3802160000,0.436701769520483,0,0.2,20.2618,132.918,0.196036,0.0957419,0.0987056,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6261,0.65,0.4,0,0,0,0,0,-0.011597,0,51.1353,-3,5.15418,15,-999,999,43.8622,-4,5.62597,14,-99,99,0.1,100,0.1,100,0.1,100,125099000,1327.71,1.64712e-13,0,-114.476,NA,NA,1130.2,340.822,NA,NA,NA,NA,NA,-40.4158,0,11.5835,0.000828656,0,0,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod",10,"D100","F1","cod",0.0206566,"#V3.24O",0.616666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D100-F1-cod-10"
