"fValues" "eqCatch"
"1" 0.15 6148.86
"2" 0.151 6163.24
"3" 0.152 6177.44
"4" 0.153 6191.46
"5" 0.154 6205.3
"6" 0.155 6218.96
"7" 0.156 6232.43
"8" 0.157 6245.74
"9" 0.158 6258.86
"10" 0.159 6271.82
"11" 0.16 6284.6
"12" 0.161 6297.21
"13" 0.162 6309.66
"14" 0.163 6321.94
"15" 0.164 6334.05
"16" 0.165 6346
"17" 0.166 6357.79
"18" 0.167 6369.42
"19" 0.168 6380.89
"20" 0.169 6392.2
"21" 0.17 6403.36
"22" 0.171 6414.36
"23" 0.172 6425.21
"24" 0.173 6435.91
"25" 0.174 6446.46
"26" 0.175 6456.86
"27" 0.176 6467.11
"28" 0.177 6477.22
"29" 0.178 6487.18
"30" 0.179 6497
"31" 0.18 6506.68
"32" 0.181 6516.22
"33" 0.182 6525.62
"34" 0.183 6534.88
"35" 0.184 6544
"36" 0.185 6552.99
"37" 0.186 6561.85
"38" 0.187 6570.57
"39" 0.188 6579.16
"40" 0.189 6587.62
"41" 0.19 6595.95
"42" 0.191 6604.15
"43" 0.192 6612.23
"44" 0.193 6620.18
"45" 0.194 6628.01
"46" 0.195 6635.71
"47" 0.196 6643.29
"48" 0.197 6650.75
"49" 0.198 6658.08
"50" 0.199 6665.3
"51" 0.2 6672.4
"52" 0.201 6679.39
"53" 0.202 6686.25
"54" 0.203 6693.01
"55" 0.204 6699.64
"56" 0.205 6706.17
"57" 0.206 6712.58
"58" 0.207 6718.89
"59" 0.208 6725.08
"60" 0.209 6731.16
"61" 0.21 6737.14
"62" 0.211 6743.01
"63" 0.212 6748.77
"64" 0.213 6754.43
"65" 0.214 6759.98
"66" 0.215 6765.43
"67" 0.216 6770.77
"68" 0.217 6776.02
"69" 0.218 6781.16
"70" 0.219 6786.21
"71" 0.22 6791.15
"72" 0.221 6796
"73" 0.222 6800.75
"74" 0.223 6805.4
"75" 0.224 6809.96
"76" 0.225 6814.42
"77" 0.226 6818.79
"78" 0.227 6823.07
"79" 0.228 6827.25
"80" 0.229 6831.34
"81" 0.23 6835.34
"82" 0.231 6839.25
"83" 0.232 6843.07
"84" 0.233 6846.8
"85" 0.234 6850.44
"86" 0.235 6854
"87" 0.236 6857.47
"88" 0.237 6860.85
"89" 0.238 6864.15
"90" 0.239 6867.37
"91" 0.24 6870.5
"92" 0.241 6873.55
"93" 0.242 6876.51
"94" 0.243 6879.4
"95" 0.244 6882.2
"96" 0.245 6884.92
"97" 0.246 6887.57
"98" 0.247 6890.13
"99" 0.248 6892.62
"100" 0.249 6895.03
"101" 0.25 6897.36
"102" 0.251 6899.62
"103" 0.252 6901.8
"104" 0.253 6903.9
"105" 0.254 6905.93
"106" 0.255 6907.89
"107" 0.256 6909.77
"108" 0.257 6911.58
"109" 0.258 6913.32
"110" 0.259 6914.99
"111" 0.26 6916.58
"112" 0.261 6918.11
"113" 0.262 6919.56
"114" 0.263 6920.95
"115" 0.264 6922.27
"116" 0.265 6923.52
"117" 0.266 6924.7
"118" 0.267 6925.81
"119" 0.268 6926.86
"120" 0.269 6927.84
"121" 0.27 6928.76
"122" 0.271 6929.61
"123" 0.272 6930.4
"124" 0.273 6931.12
